timestamp,true,persistence_pred,rf_pred
2020-07-29 05:00:00,891.14,882.5,888.0340910921157
2020-07-29 05:05:00,876.21,891.14,873.8996699630792
2020-07-29 05:10:00,879.37,876.21,879.0717083562564
2020-07-29 05:15:00,895.24,879.37,895.2636135241332
2020-07-29 05:20:00,878.66,895.24,884.3382506250563
2020-07-29 05:25:00,884.8,878.66,886.6614540271631
2020-07-29 05:30:00,894.86,884.8,894.3376581655525
2020-07-29 05:35:00,877.6,894.86,884.1242093750652
2020-07-29 05:40:00,902.44,877.6,904.2865311821411
2020-07-29 05:45:00,884.69,902.44,884.809027753982
2020-07-29 05:50:00,880.43,884.69,883.6558360607455
2020-07-29 05:55:00,895.33,880.43,895.1965980728688
2020-07-29 06:00:00,877.14,895.33,884.3382506250563
2020-07-29 06:05:00,888.13,877.14,888.5424981522469
2020-07-29 06:10:00,886.15,888.13,886.9035104087187
2020-07-29 06:15:00,879.27,886.15,875.0863824505655
2020-07-29 06:20:00,890.72,879.27,888.6537248371849
2020-07-29 06:25:00,874.46,890.72,876.629006979819
2020-07-29 06:30:00,888.58,874.46,887.7675801715673
2020-07-29 06:35:00,879.23,888.58,872.5527823145203
2020-07-29 06:40:00,880.75,879.23,880.1942474489082
2020-07-29 06:45:00,894.98,880.75,895.1246354874264
2020-07-29 06:50:00,880.96,894.98,884.2162725552755
2020-07-29 06:55:00,884.22,880.96,881.2827212146786
2020-07-29 07:00:00,893.29,884.22,894.0347505189676
2020-07-29 07:05:00,881.87,893.29,881.7292396181263
2020-07-29 07:10:00,884.16,881.87,880.3274428213574
2020-07-29 07:15:00,891.76,884.16,893.9675250765428
2020-07-29 07:20:00,879.65,891.76,879.7155237770245
2020-07-29 07:25:00,890.89,879.65,888.6738331148908
2020-07-29 07:30:00,880.67,890.89,876.6948289979892
2020-07-29 07:35:00,889.35,880.67,887.8901116330076
2020-07-29 07:40:00,888.79,889.35,888.4429837562149
2020-07-29 07:45:00,878.85,888.79,875.4257765422693
2020-07-29 07:50:00,893.65,878.85,895.1965980728688
2020-07-29 07:55:00,876.67,893.65,883.3444590315088
2020-07-29 08:00:00,893.26,876.67,894.2648384753203
2020-07-29 08:05:00,877.67,893.26,881.7292396181263
2020-07-29 08:10:00,890.14,877.67,890.2868886303747
2020-07-29 08:15:00,883.14,890.14,875.9085222122955
2020-07-29 08:20:00,873.33,883.14,874.2610900219992
2020-07-29 08:25:00,882.72,873.33,881.4304841586167
2020-07-29 08:30:00,892.03,882.72,888.8153792371414
2020-07-29 08:35:00,882.8,892.03,871.2514487854056
2020-07-29 08:40:00,886.6,882.8,882.3998648611597
2020-07-29 08:45:00,886.91,886.6,886.4181541660028
2020-07-29 08:50:00,872.05,886.91,874.8443784746011
2020-07-29 08:55:00,891.08,872.05,892.4033562627061
2020-07-29 09:00:00,899.02,891.08,896.4870430426699
2020-07-29 09:05:00,880.44,899.02,884.809027753982
2020-07-29 09:10:00,897.52,880.44,897.2250740614128
2020-07-29 09:15:00,896.74,897.52,898.3205514175147
2020-07-29 09:20:00,881.8,896.74,884.6547837723404
2020-07-29 09:25:00,884.67,881.8,880.590930481634
2020-07-29 09:30:00,901.02,884.67,898.3823837993914
2020-07-29 09:35:00,882.49,901.02,884.809027753982
2020-07-29 09:40:00,885.88,882.49,881.8220324293778
2020-07-29 09:45:00,879.81,885.88,876.4096552874621
2020-07-29 09:50:00,897.6,879.81,898.937214437303
2020-07-29 09:55:00,877.07,897.6,884.6685865767646
2020-07-29 10:00:00,891.62,877.07,893.7023527144568
2020-07-29 10:05:00,884.03,891.62,878.0283225122804
2020-07-29 10:10:00,879.25,884.03,882.0563920654297
2020-07-29 10:15:00,891.06,879.25,888.9370185746733
2020-07-29 10:20:00,875.36,891.06,876.7280554967361
2020-07-29 10:25:00,877.55,875.36,873.4532829887726
2020-07-29 10:30:00,883.02,877.55,886.6251099808047
2020-07-29 10:35:00,885.8,883.02,882.4936166685117
2020-07-29 10:40:00,886.73,885.8,886.4181541660028
2020-07-29 10:45:00,875.49,886.73,871.280520099855
2020-07-29 10:50:00,890.26,875.49,888.4979341250992
2020-07-29 10:55:00,878.11,890.26,875.1565938092193
2020-07-29 11:00:00,875.64,878.11,878.370521385418
2020-07-29 11:05:00,886.37,875.64,884.0623142629374
2020-07-29 11:10:00,887.83,886.37,886.4569508478764
2020-07-29 11:15:00,878.12,887.83,870.5666870429902
2020-07-29 11:20:00,895.38,878.12,897.9195008556559
2020-07-29 11:25:00,875.51,895.38,884.3382506250563
2020-07-29 11:30:00,896.09,875.51,893.2021989189062
2020-07-29 11:35:00,877.0,896.09,884.3901471653622
2020-07-29 11:40:00,884.95,877.0,887.1089493852207
2020-07-29 11:45:00,884.48,884.95,886.380220211564
2020-07-29 11:50:00,875.08,884.48,874.7576055043392
2020-07-29 11:55:00,896.52,875.08,893.4531214827733
2020-07-29 12:00:00,873.19,896.52,875.1942516640033
2020-07-29 12:05:00,888.37,873.19,887.8335138165038
2020-07-29 12:10:00,879.93,888.37,872.5974281188073
2020-07-29 12:15:00,891.34,879.93,888.6738331148908
2020-07-29 12:20:00,877.79,891.34,872.9054286735892
2020-07-29 12:25:00,887.05,877.79,888.4102759464492
2020-07-29 12:30:00,888.34,887.05,886.4968856158682
2020-07-29 12:35:00,877.44,888.34,875.1981238928093
2020-07-29 12:40:00,892.02,877.44,894.586543727093
2020-07-29 12:45:00,874.52,892.02,880.4866627048544
2020-07-29 12:50:00,880.48,874.52,879.6318388292635
2020-07-29 12:55:00,886.43,880.48,886.6815623048692
2020-07-29 13:00:00,882.24,886.43,884.6762686791918
2020-07-29 13:05:00,887.11,882.24,886.8123633862565
2020-07-29 13:10:00,875.2,887.11,872.2802199370358
2020-07-29 13:15:00,896.77,875.2,893.8436362452886
2020-07-29 13:20:00,875.02,896.77,882.5662077766059
2020-07-29 13:25:00,881.73,875.02,879.9375213731291
2020-07-29 13:30:00,889.35,881.73,887.0342829319103
2020-07-29 13:35:00,877.7,889.35,875.4967652216515
2020-07-29 13:40:00,879.55,877.7,880.1942474489082
2020-07-29 13:45:00,885.97,879.55,886.6815623048692
2020-07-29 13:50:00,887.8,885.97,886.494933625876
2020-07-29 13:55:00,881.27,887.8,872.8396982227196
2020-07-29 14:00:00,895.42,881.27,895.1856310838101
2020-07-29 14:05:00,876.32,895.42,884.3382506250563
2020-07-29 14:10:00,886.24,876.32,887.8159388279746
2020-07-29 14:15:00,886.48,886.24,886.4181541660028
2020-07-29 14:20:00,873.61,886.48,874.8286514209656
2020-07-29 14:25:00,892.5,873.61,892.3778759462123
2020-07-29 14:30:00,880.19,892.5,881.280144912187
2020-07-29 14:35:00,875.24,880.19,874.4756224242415
2020-07-29 14:40:00,879.73,875.24,877.9315656503842
2020-07-29 14:45:00,892.22,879.73,890.6986106250423
2020-07-29 14:50:00,875.54,892.22,870.1664854035287
2020-07-29 14:55:00,882.35,875.54,881.8337637006994
2020-07-29 15:00:00,894.6,882.35,889.4262884726539
2020-07-29 15:05:00,884.85,894.6,883.9522852820363
2020-07-29 15:10:00,879.53,884.85,878.2325316767161
2020-07-29 15:15:00,890.84,879.53,888.6537248371849
2020-07-29 15:20:00,875.19,890.84,876.6948289979892
2020-07-29 15:25:00,884.99,875.19,881.8248193589102
2020-07-29 15:30:00,886.88,884.99,886.494933625876
2020-07-29 15:35:00,885.54,886.88,886.4072762799851
2020-07-29 15:40:00,873.35,885.54,870.5666870429902
2020-07-29 15:45:00,889.19,873.35,887.9519247294987
2020-07-29 15:50:00,885.97,889.19,888.294159190276
2020-07-29 15:55:00,876.28,885.97,872.2827642636353
2020-07-29 16:00:00,889.76,876.28,889.1176072323615
2020-07-29 16:05:00,875.01,889.76,874.7362120429236
2020-07-29 16:10:00,874.26,875.01,872.0109801027838
2020-07-29 16:15:00,881.77,874.26,879.8315864394383
2020-07-29 16:20:00,890.1,881.77,887.5370644866089
2020-07-29 16:25:00,874.71,890.1,870.4375618490593
2020-07-29 16:30:00,884.28,874.71,881.5291065000532
2020-07-29 16:35:00,885.57,884.28,886.1567062920888
2020-07-29 16:40:00,873.18,885.57,871.0335469766268
2020-07-29 16:45:00,902.28,873.18,903.2012707871853
2020-07-29 16:50:00,886.5,902.28,884.8479174293452
2020-07-29 16:55:00,880.05,886.5,875.4775823217022
2020-07-29 17:00:00,899.61,880.05,899.5274582549421
2020-07-29 17:05:00,878.81,899.61,884.809027753982
2020-07-29 17:10:00,884.01,878.81,886.6223415896155
2020-07-29 17:15:00,901.03,884.01,898.2204067708315
2020-07-29 17:20:00,879.63,901.03,884.809027753982
2020-07-29 17:25:00,899.4,879.63,899.5807630081473
2020-07-29 17:30:00,902.61,899.4,901.225905643612
2020-07-29 17:35:00,890.31,902.61,888.191996647115
2020-07-29 17:40:00,876.06,890.31,875.9826704229247
2020-07-29 17:45:00,897.57,876.06,895.1283379117372
2020-07-29 17:50:00,889.83,897.57,884.8121908097093
2020-07-29 17:55:00,877.49,889.83,875.551689136979
2020-07-29 18:00:00,895.86,877.49,898.5992348028843
2020-07-29 18:05:00,873.81,895.86,884.3901471653622
2020-07-29 18:10:00,894.7,873.81,892.6805228477945
2020-07-29 18:15:00,880.42,894.7,884.0051067102344
2020-07-29 18:20:00,880.5,880.42,880.0121354784999
2020-07-29 18:25:00,896.11,880.5,895.219380983151
2020-07-29 18:30:00,879.49,896.11,884.3901471653622
2020-07-29 18:35:00,890.8,879.49,888.6537248371849
2020-07-29 18:40:00,878.18,890.8,876.6948289979892
2020-07-29 18:45:00,885.6,878.18,886.9027171184878
2020-07-29 18:50:00,882.37,885.6,886.3097656145354
2020-07-29 18:55:00,873.84,882.37,871.7403306522025
2020-07-29 19:00:00,894.23,873.84,892.4734387391248
2020-07-29 19:05:00,874.42,894.23,873.6512133750798
2020-07-29 19:10:00,892.46,874.42,891.9708462713158
2020-07-29 19:15:00,875.54,892.46,874.3644120743484
2020-07-29 19:20:00,891.43,875.54,888.6399245017299
2020-07-29 19:25:00,901.91,891.43,896.556125634731
2020-07-29 19:30:00,880.42,901.91,884.809027753982
2020-07-29 19:35:00,891.03,880.42,888.4867826431476
2020-07-29 19:40:00,898.58,891.03,896.4870430426699
2020-07-29 19:45:00,881.32,898.58,884.7224397096445
2020-07-29 19:50:00,893.43,881.32,889.1152391940617
2020-07-29 19:55:00,892.98,893.43,888.8391715166101
2020-07-29 20:00:00,876.13,892.98,881.2925809085478
2020-07-29 20:05:00,887.81,876.13,887.8753851211939
2020-07-29 20:10:00,910.27,887.81,911.8156086550757
2020-07-29 20:15:00,883.58,910.27,877.1006836286113
2020-07-29 20:20:00,881.09,883.58,885.3981521821191
2020-07-29 20:25:00,894.67,881.09,894.3086078973932
2020-07-29 20:30:00,875.16,894.67,883.9662170348714
2020-07-29 20:35:00,895.33,875.16,893.1133805903461
2020-07-29 20:40:00,882.6,895.33,884.3771403004192
2020-07-29 20:45:00,878.22,882.6,877.367338125261
2020-07-29 20:50:00,891.21,878.22,892.753123019164
